hex_id,residential,transport,medical,supermarkets,offices,education,parks,pharmacy_comp,cafe_comp,pvz_comp
89119eca587ffff,6,2,3,0,6,0,2,2,2,0
89119eca5c3ffff,17,0,1,1,6,1,0,1,3,0
89119eca5dbffff,16,2,1,3,2,1,0,2,9,1
89119eca4afffff,5,2,0,0,26,0,2,5,10,0
89119eca48fffff,5,2,1,1,12,0,2,1,4,1
89119ed8bbbffff,2,3,0,2,0,0,0,8,8,1
89119eca5d7ffff,8,4,3,2,9,1,1,3,9,1
89119eca423ffff,4,0,5,2,4,0,0,2,0,0
89119eca43bffff,3,1,1,1,2,0,4,0,11,0
89119eca433ffff,7,2,1,1,10,0,4,1,9,2
89119eca687ffff,1,2,0,1,0,0,2,0,0,0
89119eca483ffff,16,0,3,1,8,0,5,2,0,1
89119eca5d3ffff,17,3,3,2,2,0,2,5,11,1
89119eca487ffff,12,0,2,2,13,0,1,1,1,1
89119ed8b1bffff,13,1,1,2,4,0,0,3,6,2
89119ed8b0bffff,18,1,1,1,2,0,0,2,1,1
89119ed8b47ffff,13,2,1,3,3,0,0,7,8,0
89119ed8857ffff,17,5,0,2,1,0,0,4,1,3
89119eca5b7ffff,0,2,0,1,5,1,1,1,2,0
89119eca5b3ffff,10,2,2,0,6,0,1,2,0,1
89119eca58fffff,7,2,1,1,7,0,1,0,3,1
89119eca58bffff,9,2,1,0,4,1,2,0,0,1
89119eca517ffff,10,3,3,1,6,1,0,2,2,0
89119ed8b7bffff,9,0,2,3,7,1,3,5,5,1
89119eca4a3ffff,6,4,0,0,5,0,2,1,9,2
89119eca4abffff,7,1,0,0,44,0,1,0,4,0
89119eca4bbffff,7,1,5,0,9,0,2,6,3,1
89119eca437ffff,17,0,1,1,2,0,1,2,0,2
89119ed8b6bffff,9,0,1,0,3,0,2,1,4,2
89119eca4cfffff,6,2,1,3,0,1,1,5,3,2
89119ed8a37ffff,0,1,0,1,4,0,0,0,0,0
89119ed884fffff,0,1,0,0,0,0,0,0,0,0
89119ed8847ffff,7,0,0,1,2,0,0,2,0,0
89119ed8a8bffff,8,3,0,1,1,1,1,5,2,2
89119ed8a73ffff,0,1,1,1,3,2,0,0,3,0
89119ed8a53ffff,13,2,2,7,5,0,2,5,8,2
89119ed8a57ffff,1,2,1,0,1,0,1,0,0,0
89119ed8ac7ffff,7,2,0,1,1,1,1,1,3,1
89119ed8a63ffff,8,2,0,0,0,0,1,1,0,1
89119ed8a47ffff,10,1,1,4,3,0,3,0,2,1
89119eca597ffff,5,4,1,7,4,0,2,7,15,1
89119eca583ffff,9,4,0,1,6,0,2,2,2,1
89119ed8b4bffff,17,3,3,2,6,0,1,2,5,2
89119ed8b63ffff,10,2,0,3,7,4,3,0,4,2
89119eca48bffff,5,3,3,1,12,0,3,5,17,1
89119ed8a67ffff,3,1,0,1,4,0,0,1,0,1
89119eca493ffff,14,3,0,2,2,0,2,3,4,0
89119ec160bffff,5,2,0,1,0,0,0,1,0,1
89119ec164fffff,0,2,0,0,4,0,1,0,0,0
89119ed880bffff,18,2,2,4,0,0,0,3,1,2
89119ed8bb7ffff,6,2,0,1,2,1,1,4,3,1
89119ed8a6bffff,13,3,0,4,4,0,1,3,0,1
89119ec167bffff,2,0,0,1,1,1,2,0,1,0
89119eca4d3ffff,0,1,0,0,0,0,0,0,0,0
89119eca4c7ffff,7,2,2,2,1,2,1,0,12,1
89119ed99abffff,1,2,0,1,0,0,0,0,0,0
89119eca4dbffff,6,3,0,2,1,0,0,0,2,2
89119eca4c3ffff,4,1,0,0,0,0,1,0,0,1
89119ed9917ffff,8,2,0,0,0,0,0,0,0,1
89119ed8b9bffff,1,2,0,1,2,0,0,0,1,1
89119ed8823ffff,1,4,0,0,0,0,0,0,2,0
89119ed8b83ffff,3,3,0,0,0,0,0,0,6,1
89119ed8b5bffff,9,1,2,2,9,0,1,1,7,3
89119ec165bffff,2,2,0,1,0,0,0,1,0,0
89119ed8bafffff,18,2,4,1,3,0,1,2,0,1
89119ed8b33ffff,3,2,1,0,0,1,0,0,0,0
89119ed8ba3ffff,5,0,0,1,2,0,3,1,5,1
89119ed8863ffff,6,2,0,1,0,0,0,1,0,3
89119ed886fffff,5,0,0,0,2,0,0,0,1,1
89119ed8803ffff,28,0,0,1,1,0,0,0,0,1
89119ed881bffff,9,0,0,1,0,0,0,0,0,0
89119ed8807ffff,0,0,0,0,1,0,0,1,0,0
89119ed880fffff,30,2,0,1,0,0,0,1,1,2
89119ed993bffff,4,2,1,1,0,0,0,1,1,0
89119ed9933ffff,1,2,0,0,0,0,0,0,0,1
89119ed8b57ffff,11,0,1,4,1,0,1,1,1,1
89119ec16dbffff,10,0,0,2,1,0,0,0,0,0
89119ed897bffff,4,2,3,2,3,0,0,5,2,2
89119ed8a87ffff,5,1,0,0,1,0,0,0,2,1
89119ed8e2fffff,0,2,0,2,1,0,0,0,0,0
89119ed8e6fffff,15,0,0,1,1,0,0,1,0,1
89119eca4b7ffff,17,2,1,1,5,1,0,2,5,2
89119ed8a7bffff,12,3,1,1,0,0,1,3,3,2
89119eca4b3ffff,14,1,1,1,10,0,0,3,6,2
89119eca49bffff,3,1,0,3,12,0,1,6,7,2
89119ed886bffff,9,0,0,1,0,0,0,0,0,0
